#   X	          Y	         Z	   Intensity
-0.40123001	-1.01609802	0.93937701	0.311406
-0.40007001	-1.01310694	0.93901098	0.310674
-0.39888000	-1.01011705	0.93861401	0.308476
-0.39769000	-1.00712597	0.93821698	0.308965
-0.39680499	-1.00483704	0.93846101	0.311162
-0.39588901	-1.00254798	0.93867499	0.316777
-0.39485201	-0.99992400	0.93858302	0.317510
-0.39381400	-0.99726897	0.93849200	0.319707
-0.39262399	-0.99430799	0.93806499	0.323857
-0.39152500	-0.99150097	0.93778998	0.331914
-0.39054900	-0.98902899	0.93785101	0.338262
-0.43037400	-1.08592200	0.94471699	0.429816
-0.42939800	-1.08342004	0.94496202	0.405402
-0.42826799	-1.08055103	0.94487000	0.384405
-0.42719999	-1.07786596	0.94496202	0.364630
